customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5333-XLY61,Female,1,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.78,477.88,Yes
9193-BBB27,Female,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,98.36,3247.55,No
1436-TPI93,Male,0,No,No,37,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),82.61,3061.29,Yes
3262-QGR51,Female,0,No,No,47,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),91.9,4323.4,No
9011-KPL81,Female,0,No,No,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.03,622.1,Yes
4920-HBV77,Male,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.84,1805.67,No
6262-JUB21,Male,0,Yes,Yes,50,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),53.49,2684.28,No
9092-EQO44,Male,0,No,No,24,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.79,1979.77,Yes
5064-AIM40,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.07,2660.94,No
8834-EOX87,Female,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,87.65,4915.49,No
4365-WSP21,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.4,4722.64,Yes
3948-YEY92,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.35,1589.56,Yes
7948-RMH41,Female,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,104.32,5210.69,Yes
1924-EQJ39,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),82.0,5326.37,No
3444-JMF78,Female,0,Yes,No,42,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,85.25,3587.09,Yes
7179-VTT15,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,60.36,367.67,Yes
9743-ULJ43,Female,0,No,No,59,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,62.87,3703.93,No
5026-PRU97,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,66.85,1535.8,No
4791-CWE11,Male,0,No,Yes,64,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,92.25,5895.93,Yes
4144-TQI55,Female,0,Yes,No,28,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.96,1570.94,Yes
8109-UZK82,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,71.77,865.49,Yes
2260-JFS40,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.88,2055.86,No
7499-YKA91,Female,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.72,683.17,Yes
6050-OLY44,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,95.5,3717.89,No
3274-IJI73,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.58,197.77,Yes
3230-JKT98,Male,0,Yes,No,44,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,88.17,3878.71,No
8183-ZJW18,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.41,681.76,Yes
2392-DYH94,Female,0,Yes,No,40,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,83.91,3346.89,No
7815-CDX28,Female,0,No,No,19,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,65.11,1238.13,Yes
7985-OHZ61,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.3,6133.31,No
6134-TMT60,Male,0,No,No,58,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.46,5768.41,No
3838-RFP46,Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.41,1889.04,No
2354-SAZ38,Female,1,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),80.32,652.36,Yes
5055-JBO43,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),75.68,2112.41,No
5794-JSI75,Male,1,No,No,53,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,80.94,4297.42,Yes
9447-XIW57,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.33,5364.44,No
6631-VYB15,Male,0,No,Yes,42,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),76.15,3201.28,Yes
6005-XWY39,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.22,201.79,Yes
7270-YYE92,Male,1,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,93.23,6435.76,Yes
5668-YWA94,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),77.53,78.9,Yes
3830-YPY19,Male,0,Yes,No,1,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.67,58.9,Yes
3545-RKM85,Male,0,No,No,18,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.17,1317.52,No
5247-FLE44,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,98.1,1667.88,Yes
1201-HBP56,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.18,5620.34,Yes
5625-YJK21,Female,1,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.95,2830.47,Yes
6488-AYV58,Female,1,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.71,768.58,No
9280-EUM19,Male,0,Yes,Yes,6,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.65,375.22,Yes
9780-LYG67,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.72,1007.01,Yes
5093-DOD27,Male,1,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.36,655.37,Yes
8096-XMP13,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.9,211.39,Yes
9907-ZAM55,Female,0,No,No,30,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,63.23,1891.72,No
1916-YHS59,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.44,176.4,No
9064-RJF72,Male,1,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,82.43,666.65,No
7120-WVM85,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.64,637.37,Yes
1029-WSM82,Male,0,No,No,19,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),64.63,1223.27,Yes
2110-LIZ23,Male,1,No,No,64,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,78.73,5047.75,Yes
3787-MFX19,Male,0,No,No,40,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),82.58,3300.42,No
5825-VUT71,Male,1,Yes,Yes,64,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),74.58,4768.39,No
2009-EYW95,Male,1,No,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.01,4768.57,Yes
3415-DYO32,Male,0,Yes,Yes,2,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.36,147.85,Yes
1202-ZWT85,Female,1,Yes,Yes,19,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,97.71,1854.55,No
7581-BMK98,Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.44,887.56,No
6257-IXN87,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,73.25,4394.13,No
4262-ILO74,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.36,294.05,No
2480-JAM16,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.88,989.35,No
1138-HIT49,Female,0,No,No,32,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,69.87,2232.57,Yes
6327-IIU93,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,78.9,5369.47,No
8794-VLQ48,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.1,284.01,Yes
2929-PBU84,Male,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,69.91,2239.74,Yes
1950-AOI36,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,106.63,5641.47,No
4707-WLJ26,Male,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.63,2370.02,No
4460-XAS74,Male,1,Yes,No,47,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,91.37,4297.0,No
2654-VQI89,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),88.81,167.67,No
2809-SVP29,Male,0,Yes,Yes,42,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,72.46,3051.13,Yes
3267-VUF52,Female,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.1,225.58,No
2852-EWX17,Male,1,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.88,1105.32,No
8220-BCI93,Female,1,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.46,1574.13,Yes
9055-KHK45,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.04,665.58,Yes
9328-RGU95,Female,0,No,No,59,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),100.33,5916.95,Yes
3689-PEW62,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,78.25,537.84,No
8091-SPQ32,Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.42,343.47,No
8419-ZEE62,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),90.44,2262.66,No
7839-VXR46,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),102.22,109.58,Yes
4675-XUR59,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.71,216.03,No
8259-HUW92,Female,0,Yes,Yes,3,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.81,225.62,Yes
3518-KTB90,Female,0,No,Yes,24,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),73.48,1769.99,No
1144-DVL67,Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,83.14,1656.15,No
9814-RAU18,Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,102.88,4113.35,No
7626-NKA59,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),72.08,3250.59,No
3360-JVZ92,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,98.05,104.74,Yes
3971-VZS16,Female,0,Yes,No,25,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),76.35,1901.8,No
6182-NFA50,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,83.34,924.47,Yes
2235-AQU13,Female,0,Yes,Yes,47,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,77.44,3645.81,No
3717-YQE67,Male,0,Yes,No,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,61.43,2703.35,No
5314-SRS32,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,2173.52,Yes
3578-LTW25,Male,0,No,No,26,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,90.12,2341.23,No
1305-XXV46,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.43,707.34,Yes
9263-VNE87,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.03,1064.95,Yes
2600-NEI71,Male,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.33,2707.29,Yes
5514-VMY36,Female,0,No,No,32,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),72.11,2309.8,No
1852-FMU10,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),89.57,2412.42,No
9489-JGB86,Male,0,Yes,No,1,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),76.58,77.76,Yes
